#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,40.6403,16.7584,16.2281,16.1081,16.4182
10,60.5308,31.6975,30.5959,30.4457,31.0566
15,72.6125,45.706,42.6395,41.7978,44.1527
20,80.4252,58.1929,52.3566,52.7276,55.8865
25,85.0688,68.7418,60.4679,61.5825,65.2776
30,87.9461,76.5658,66.5728,66.6633,73.0471
35,90.0393,81.48,71.5395,71.2673,78.4958
40,91.7281,84.5167,75.5479,74.9823,82.6482
45,93.0127,86.319,78.6228,78.3797,85.4886
50,94.0236,87.752,81.1953,81.684,87.1717
55,94.9398,89.1757,83.9012,83.5646,88.8288
60,95.7464,90.3421,85.9961,85.657,90.2497
65,96.49,91.58,88.6155,88.3376,91.6521
70,97.1981,92.8763,90.2399,89.6712,92.7833
75,97.8101,94.0529,92.164,92.6829,93.9076
80,98.3579,95.2097,93.8396,94.0592,95.126
85,98.8389,96.2635,94.9229,95.1024,96.3373
90,99.2654,97.3917,96.721,96.689,97.6578
95,99.6747,98.6337,98.3735,98.471,98.6445
100,100,100,100,100,100
